Yta,RAD,PL,D,Kappa,x,y,BV,StickVag
1,11,1,214,1,11,1,0.8935,0
1,11,2,154,0,11,2,0.5662,0
1,11,3,145,0,11,3,1.1728,0
1,11,4,61,0,11,4,0.0223,0
1,11,5,222,0,11,5,0.823,0
1,11,6,131,0,11,6,1.2643,0
1,11,7,NA,0,11,7,0.7319,0
1,11,8,155,0,11,8,0.4277,0
1,11,9,187,0,11,9,0.3338,0
1,11,10,150,0,11,10,0.9334,0
1,11,11,152,0,11,11,-0.0085,0
1,11,12,111,0,11,12,1.4919,0
1,11,13,135,0,11,13,0.865,0
1,12,1,196,1,12,1,1.0552,0
1,12,2,165,0,12,2,0.7139,0
1,12,3,147,0,12,3,0.4136,0
1,12,4,174,0,12,4,0.6623,0
1,12,5,110,0,12,5,-0.3755,0
1,12,6,120,0,12,6,0.6886,0
1,12,7,157,0,12,7,0.4088,0
1,12,8,125,0,12,8,0.0228,0
1,12,9,NA,0,12,9,0.9508,0
1,12,10,60,0,12,10,0.5325,0
1,12,11,120,0,12,11,1.4251,0
1,12,12,45,0,12,12,0.7413,0
1,12,13,150,0,12,13,0.3058,0
1,13,1,225,1,13,1,0.5822,0
1,13,2,134,0,13,2,0.2377,0
1,13,3,134,0,13,3,1.1923,0
1,13,4,145,0,13,4,1.3319,0
1,13,5,NA,0,13,5,-0.4443,0
1,13,6,171,0,13,6,1.0576,0
1,13,7,140,0,13,7,0.8628,0
1,13,8,91,0,13,8,0.4975,0
1,13,9,160,0,13,9,0.8778,0
1,13,10,94,0,13,10,0.4693,0
1,13,11,146,0,13,11,0.6344,0
1,13,12,80,0,13,12,0.2635,0
1,13,13,174,0,13,13,1.1414,0
1,14,1,NA,1,14,1,0.2349,0
1,14,2,133,0,14,2,0.7368,0
1,14,3,90,0,14,3,0.3715,0
1,14,4,187,0,14,4,0.9928,0
1,14,5,139,0,14,5,0.8138,0
1,14,6,130,0,14,6,NA,0
1,14,7,144,0,14,7,0.3956,0
1,14,8,169,0,14,8,0.4611,0
1,14,9,50,0,14,9,-0.5349,0
1,14,10,130,0,14,10,0.5739,0
1,14,11,150,0,14,11,1.2207,0
1,14,12,130,0,14,12,1.0372,0
1,14,13,141,0,14,13,0.5669,0
1,15,1,147,1,15,1,0.3928,0
1,15,2,166,1,15,2,0.6486,0
1,15,3,177,1,15,3,0.8303,0
1,15,4,178,1,15,4,0.7948,0
1,15,5,25,1,15,5,-0.4089,0
1,15,6,161,1,15,6,0.7765,0
1,15,7,156,1,15,7,-0.1645,0
1,15,8,130,1,15,8,-0.2861,0
1,15,9,236,1,15,9,0.2314,0
1,15,10,195,1,15,10,1.1346,0
1,15,11,180,1,15,11,0.4443,0
1,15,12,149,1,15,12,-1.0137,0
1,15,13,138,1,15,13,0.441,0
2,1,1,90,1,1,14,0.1424,0
2,1,2,107,1,1,15,0.539,0
2,1,3,214,1,1,16,1.2764,0
2,1,4,199,1,1,17,0.7382,0
2,1,5,NA,1,1,20,NA,0
2,1,6,189,1,1,21,1.1944,0
2,1,7,134,1,1,22,0.5566,0
2,1,8,135,1,1,23,0.3067,0
2,1,9,125,1,1,24,0.252,0
